year,new_bev_registrations,new_phev_registrations,total_ev_stock,charging_stations,total_new_ev,ev_per_charging_point,yoy_growth_pct
2010,541,0,1307,620,541,2.1,
2011,2154,0,4541,2100,2154,2.2,298.2
2012,2956,100,7812,3800,3056,2.1,37.2
2013,6051,800,12156,5500,6851,2.2,104.7
2014,8522,4400,24300,7200,12922,3.4,40.8
2015,12363,9356,49616,10000,21719,5.0,45.1
2016,11410,20141,73552,13000,31551,5.7,-7.7
2017,25056,48813,100948,18000,73869,5.6,119.6
2018,36062,67504,136617,27730,103566,4.9,43.9
2019,63281,109739,220184,44879,173020,4.9,75.5
2020,194163,200286,395560,67432,394449,5.9,206.8
2021,355961,326787,618460,94124,682748,6.6,83.3
2022,470559,202348,1007159,133000,672907,7.6,32.2
2023,524219,182566,1407838,192000,706785,7.3,11.4
2024,380609,144000,1656200,240000,524609,6.9,-27.4
